,Left,Right,Steering_angle,Speed
10,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-40.8820_11.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-40.8960_11.jpg,0.0000,0.0001
11,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-40.9798_12.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-40.9938_12.jpg,0.0000,0.0001
12,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-41.0388_13.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-41.0548_13.jpg,0.0000,0.0001
13,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-41.1470_14.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-41.1610_14.jpg,0.0000,0.0001
14,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-41.2229_15.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-41.2376_15.jpg,0.0000,0.0001
15,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-41.3661_16.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-41.3822_16.jpg,0.0000,0.0001
16,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-41.4585_17.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-41.4793_17.jpg,0.0000,0.0110
17,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-41.6172_18.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-41.6302_18.jpg,0.0000,0.0062
18,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-41.7481_19.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-41.7631_19.jpg,0.0000,0.0061
19,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-41.8335_20.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-41.8521_20.jpg,0.0000,0.0061
20,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-41.9601_21.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-41.9732_21.jpg,0.0000,0.0061
21,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-42.0375_22.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-42.0555_22.jpg,0.0000,0.0061
22,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-42.1690_23.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-42.1860_23.jpg,0.0000,0.0061
23,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-42.2615_24.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-42.2794_24.jpg,0.0000,0.0061
24,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-42.4500_25.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-42.4650_25.jpg,0.0000,0.0061
25,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-42.5661_26.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-42.5831_26.jpg,0.0000,0.0061
26,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-42.6551_27.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-42.6691_27.jpg,0.0000,0.0061
27,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-42.7631_28.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-42.7761_28.jpg,0.0000,0.0061
28,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-42.8354_29.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-42.8510_29.jpg,0.0000,0.0061
29,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-42.9331_30.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-42.9471_30.jpg,0.0000,0.0061
30,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-43.0031_31.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-43.0181_31.jpg,0.0000,0.0061
31,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-43.1038_32.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-43.1192_32.jpg,0.0000,0.0061
32,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-43.1708_33.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-43.1872_33.jpg,0.0000,0.0061
33,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-43.2760_34.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-43.2918_34.jpg,0.0000,0.0061
34,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-43.3610_35.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-43.3881_35.jpg,0.0000,0.0061
35,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-43.5647_36.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-43.5820_36.jpg,0.0000,0.0061
36,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-43.6875_37.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-43.7004_37.jpg,0.0000,0.7950
37,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-43.7596_38.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-43.7731_38.jpg,0.0000,1.1722
38,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-43.8722_39.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-43.8880_39.jpg,0.0000,1.5336
39,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-43.9568_40.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-43.9705_40.jpg,0.0000,1.7961
40,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-44.0629_41.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-44.0769_41.jpg,0.0000,2.1554
41,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-44.1400_42.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-44.1551_42.jpg,0.0000,2.4129
42,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-44.2382_43.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-44.2561_43.jpg,0.0000,2.7416
43,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-44.3207_44.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-44.3337_44.jpg,0.0000,2.9998
44,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-44.4764_45.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-44.4910_45.jpg,0.0000,3.4997
45,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-44.5830_46.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-44.5963_46.jpg,0.0000,3.8289
46,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-44.6667_47.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-44.6817_47.jpg,0.0000,4.1058
47,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-44.7639_48.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-44.7769_48.jpg,0.0000,4.3929
48,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-44.8361_49.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-44.8527_49.jpg,0.0000,4.6060
49,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-44.9509_50.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-44.9639_50.jpg,0.0000,5.0481
50,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-45.0269_51.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-45.0393_51.jpg,0.0000,5.5145
51,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-45.1256_52.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-45.1376_52.jpg,0.0000,7.3035
52,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-45.2088_53.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-45.2228_53.jpg,0.0000,8.4693
53,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-45.3254_54.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-45.3370_54.jpg,0.0000,9.8429
54,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-45.3999_55.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-45.4169_55.jpg,0.0000,10.7912
55,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-45.5129_56.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-45.5251_56.jpg,0.0000,12.2436
56,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-45.5926_57.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-45.6043_57.jpg,0.0000,13.2695
57,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-45.6902_58.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-45.7022_58.jpg,0.0000,14.4484
58,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-45.7679_59.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-45.7829_59.jpg,0.0000,15.4326
59,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-45.8603_60.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-45.8742_60.jpg,0.0000,16.5960
60,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-45.9333_61.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-45.9470_61.jpg,0.0000,17.5201
61,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-46.0401_62.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-46.0621_62.jpg,0.0000,18.6666
62,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-46.1281_63.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-46.1484_63.jpg,0.0000,19.7381
63,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-46.2667_64.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-46.2832_64.jpg,0.0000,21.4892
64,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-46.3471_65.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-46.3601_65.jpg,0.0000,22.4980
65,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-46.4443_66.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-46.4563_66.jpg,-7.3178,23.4947
66,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-46.5120_67.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-46.5242_67.jpg,-2.1061,24.3406
67,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-46.6101_68.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-46.6231_68.jpg,0.0000,25.4912
68,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-46.6761_69.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-46.6881_69.jpg,0.0000,26.2849
69,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-46.7784_70.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-46.7963_70.jpg,0.0000,27.3185
70,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-46.8700_71.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-46.8860_71.jpg,0.0000,28.3353
71,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-46.9805_72.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-46.9941_72.jpg,0.0000,29.6016
72,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-47.0599_73.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-47.0719_73.jpg,0.0000,30.3822
73,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-47.1602_74.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-47.1733_74.jpg,0.0000,31.4886
74,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-47.2295_75.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-47.2445_75.jpg,0.0000,32.1870
75,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-47.3409_76.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-47.3561_76.jpg,-8.2761,33.1302
76,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-47.4204_77.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-47.4340_77.jpg,-2.7095,33.8551
77,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-47.5251_78.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-47.5381_78.jpg,0.0000,34.9070
78,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-47.6029_79.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-47.6179_79.jpg,0.0000,35.6490
79,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-47.7000_80.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-47.7130_80.jpg,-7.3501,36.4859
80,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-47.7630_81.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-47.7751_81.jpg,-12.2262,36.9691
81,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-47.8564_82.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-47.8681_82.jpg,-5.5572,37.7325
82,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-47.9270_83.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-47.9403_83.jpg,-0.4536,38.3126
83,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-48.0154_84.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-48.0276_84.jpg,0.0000,39.0422
84,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-48.0865_85.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-48.0981_85.jpg,-5.2560,39.6634
85,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-48.1869_86.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-48.1984_86.jpg,-12.6229,40.3168
86,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-48.2504_87.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-48.2636_87.jpg,-7.6853,40.8342
87,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-48.3540_88.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-48.3670_88.jpg,-0.0037,41.6204
88,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-48.4177_89.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-48.4307_89.jpg,-4.8753,42.1223
89,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-48.5129_90.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-48.5254_90.jpg,-12.0579,42.8579
90,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-48.5860_91.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-48.5981_91.jpg,-6.9578,43.5445
91,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-48.6824_92.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-48.6939_92.jpg,0.0000,44.1161
92,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-48.7422_93.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-48.7570_93.jpg,0.0000,44.4434
93,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-48.8428_94.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-48.8548_94.jpg,0.0000,44.6978
94,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-48.9125_95.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-48.9245_95.jpg,0.0000,44.9446
95,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-49.0068_96.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-49.0213_96.jpg,0.0000,45.2906
96,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-49.0776_97.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-49.0896_97.jpg,0.0000,45.5660
97,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-49.1651_98.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-49.1791_98.jpg,0.0000,45.9404
98,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-49.2301_99.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-49.2451_99.jpg,0.0000,46.2377
99,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-49.3350_100.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-49.3510_100.jpg,0.0000,46.7269
100,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-49.4020_101.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-49.4200_101.jpg,0.0000,47.0871
101,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-49.5089_102.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-49.5229_102.jpg,-7.8140,47.4545
102,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-49.5892_103.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-49.6022_103.jpg,-13.6148,47.4749
103,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-49.6865_104.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-49.6986_104.jpg,-20.9296,47.2780
104,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-49.7451_105.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-49.7571_105.jpg,-25.0000,47.0694
105,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-49.8370_106.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-49.8520_106.jpg,-18.0403,47.0454
106,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-49.9011_107.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-49.9161_107.jpg,-13.1689,47.1190
107,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-49.9871_108.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-49.9981_108.jpg,-7.0270,47.2480
108,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-50.0495_109.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-50.0601_109.jpg,-2.2986,47.3406
109,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-50.1020_110.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-50.1160_110.jpg,0.0000,47.3773
