center,left,right,steering,speed,throttle,break
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_10_310.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_10_310.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_10_310.jpg,0,1,0,12.42669
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_10_385.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_10_385.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_10_385.jpg,0,1,0,13.1344
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_10_460.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_10_460.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_10_460.jpg,0,1,0,14.23101
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_10_535.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_10_535.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_10_535.jpg,0,1,0,14.62439
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_10_612.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_10_612.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_10_612.jpg,0,1,0,15.43474
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_10_686.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_10_686.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_10_686.jpg,0,1,0,16.30769
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_10_756.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_10_756.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_10_756.jpg,-0.15,1,0,17.17502
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_10_827.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_10_827.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_10_827.jpg,-0.35,1,0,17.94004
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_10_901.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_10_901.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_10_901.jpg,-0.5500001,1,0,18.64315
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_10_976.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_10_976.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_10_976.jpg,-0.7,1,0,19.0053
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_11_046.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_11_046.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_11_046.jpg,0,1,0,19.7275
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_11_116.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_11_116.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_11_116.jpg,0,1,0,20.31708
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_11_195.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_11_195.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_11_195.jpg,0,1,0,21.10966
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_11_262.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_11_262.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_11_262.jpg,-0.1,1,0,21.90302
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_11_336.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_11_336.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_11_336.jpg,-0.25,1,0,22.46085
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_11_413.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_11_413.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_11_413.jpg,-0.45,1,0,23.16543
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_11_484.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_11_484.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_11_484.jpg,0,1,0,23.85092
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_11_553.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_11_553.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_11_553.jpg,0,1,0,24.42285
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_11_624.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_11_624.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_11_624.jpg,0,1,0,25.18807
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_11_691.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_11_691.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_11_691.jpg,0,1,0,25.76071
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_11_758.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_11_758.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_11_758.jpg,0,1,0,26.52074
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_11_826.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_11_826.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_11_826.jpg,-0.15,1,0,27.07985
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_11_893.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_11_893.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_11_893.jpg,-0.3,1,0,27.60197
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_11_969.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_11_969.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_11_969.jpg,-0.5000001,1,0,28.21996
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_12_037.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_12_037.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_12_037.jpg,0,1,0,28.88751
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_12_104.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_12_104.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_12_104.jpg,0,1,0,29.43111
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_12_172.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_12_172.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_12_172.jpg,-0.05,1,0,29.97699
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_12_245.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_12_245.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_12_245.jpg,-0.25,1,0,30.17929
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_12_315.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_12_315.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_12_315.jpg,-0.4,1,0,30.16127
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_12_387.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_12_387.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_12_387.jpg,-0.6000001,1,0,30.1356
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_12_456.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_12_456.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_12_456.jpg,0,1,0,30.18296
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_12_526.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_12_526.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_12_526.jpg,0,1,0,30.18903
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_12_595.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_12_595.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_12_595.jpg,0,1,0,30.18986
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_12_672.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_12_672.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_12_672.jpg,-0.15,1,0,30.18673
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_12_741.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_12_741.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_12_741.jpg,-0.35,1,0,30.16558
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_12_814.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_12_814.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_12_814.jpg,0,1,0,30.18052
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_12_885.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_12_885.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_12_885.jpg,0,1,0,30.18895
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_12_957.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_12_957.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_12_957.jpg,0,1,0,30.19008
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_13_026.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_13_026.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_13_026.jpg,0,1,0,30.19023
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_13_100.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_13_100.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_13_100.jpg,0,1,0,30.19032
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_13_178.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_13_178.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_13_178.jpg,0,1,0,30.1903
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_13_246.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_13_246.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_13_246.jpg,0,1,0,30.18984
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_13_313.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_13_313.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_13_313.jpg,0,1,0,30.19034
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_13_383.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_13_383.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_13_383.jpg,0,1,0,30.19032
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_13_454.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_13_454.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_13_454.jpg,-0.05,1,0,30.18915
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_13_532.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_13_532.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_13_532.jpg,-0.25,1,0,30.17473
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_13_609.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_13_609.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_13_609.jpg,0,1,0,30.19019
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_13_687.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_13_687.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_13_687.jpg,0,1,0,30.19025
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_13_764.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_13_764.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_13_764.jpg,-0.05,1,0,30.1899
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_13_841.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_13_841.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_13_841.jpg,-0.25,1,0,30.17563
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_13_913.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_13_913.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_13_913.jpg,-0.4,1,0,30.15823
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_13_988.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_13_988.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_13_988.jpg,0,1,0,30.18864
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_14_065.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_14_065.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_14_065.jpg,0,1,0,30.19001
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_14_144.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_14_144.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_14_144.jpg,0,1,0,30.19027
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_14_221.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_14_221.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_14_221.jpg,0,1,0,30.19039
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_14_287.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_14_287.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_14_287.jpg,0,1,0,30.19034
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_14_355.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_14_355.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_14_355.jpg,-0.15,1,0,30.1846
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_14_427.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_14_427.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_14_427.jpg,-0.35,1,0,30.16382
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_14_505.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_14_505.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_14_505.jpg,0,1,0,30.1876
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_14_572.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_14_572.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_14_572.jpg,0,1,0,30.18884
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_14_644.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_14_644.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_14_644.jpg,0,1,0,30.19003
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_14_716.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_14_716.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_14_716.jpg,0,1,0,30.19025
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_14_789.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_14_789.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_14_789.jpg,-0.2,1,0,30.18172
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_14_863.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_14_863.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_14_863.jpg,-0.4,1,0,30.15896
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_14_937.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_14_937.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_14_937.jpg,0,1,0,30.18903
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_15_023.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_15_023.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_15_023.jpg,0,1,0,30.18951
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_15_102.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_15_102.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_15_102.jpg,0,1,0,30.19025
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_15_174.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_15_174.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_15_174.jpg,-0.1,1,0,30.1885
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_15_250.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_15_250.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_15_250.jpg,-0.3,1,0,30.17037
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_15_325.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_15_325.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_15_325.jpg,0,1,0,30.1889
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_15_397.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_15_397.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_15_397.jpg,0,1,0,30.18968
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_15_471.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_15_471.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_15_471.jpg,0,1,0,30.1901
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_15_540.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_15_540.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_15_540.jpg,-0.05,1,0,30.19002
